time,data,median,LB,UB
2017,75.3,75.3,75.3,75.3
2018,77.1,76.95707007,75.56415505,78.43358702
2019,78.4,78.89009968,77.66689331,80.13346427
2020,79.7,79.56926806,78.3037049,80.74975937
2021,79.8,79.3967501,78.17483507,80.63686288
2022,78.4,78.767653,77.40260783,80.1991468
2023,NaN,77.77793476,76.18555901,80.05721031
2024,NaN,76.57883586,74.66808059,80.18075606
2025,NaN,75.2295297,72.87786782,80.44512112
2026,NaN,73.79662387,70.68825312,80.55575909
2027,NaN,72.25072653,68.53493911,80.60445511
2028,NaN,70.67977167,66.38896712,80.78296523
2029,NaN,69.01659972,63.97241239,81.03451929
2030,NaN,67.36485087,61.69595426,81.12169933
