year,month,day,data,median,LB,UB
2008,1,1,905,904.5,904,905
2008,12,31,856,809.864274024387,660.824737904062,994.3371663806
2009,12,31,828,768.709911183194,646.30138479827,890.278152143779
2010,12,31,788,765.254545475322,641.625187625097,885.421744606301
2011,12,31,674,762.688716111229,644.203821544848,877.752583535668
2012,12,30,712,757.520149186752,641.980888741091,871.198433264682
2013,12,30,750,752.776006005588,635.548659075497,866.921143397211
2014,12,30,785,748.738039287821,627.683138108017,866.556118675614
2015,12,30,722,742.455389420633,621.000783556659,856.996401524115
2016,12,29,698,737.278218514245,616.548212883643,856.243369091997
2017,12,29,761,730.180505981662,606.522736573087,851.472897573772
2018,12,29,724,725.85080042539,596.177918871201,849.007342249378
2019,12,29,NaN,719.24234789817,585.841804699787,842.881417742137
2020,12,28,NaN,713.71140371279,572.73264386381,846.087752404452
2021,12,28,NaN,709.321907055019,558.722596073753,844.186872986647
2022,12,28,NaN,702.687314965878,545.140511434242,847.388859560637
2023,12,28,NaN,700.459044076589,533.337886381758,837.427120213625
2024,12,27,NaN,694.4636384142,515.422836682671,837.180971000176
2025,12,27,NaN,688.829684431942,500.196361818396,839.557501738631
2026,12,27,NaN,684.750754981194,481.686050624954,835.207293869783
2027,12,27,NaN,678.586499775176,462.950139677147,836.769993482396
2028,12,26,NaN,672.773293747999,455.112044394342,830.620590235747
2029,12,26,NaN,668.813273911398,437.937701681435,831.474133987537
